id,name,lat,lon,demand,ready_time,due_date,service_time
DEPOT,DHCT,10.030874, 105.768299 ,0,0,300,0
1,KH_1,10.027113327072579,105.76693654060365,22,0,180,10
2,KH_2,10.026141870308416,105.76516628265382,28,0,200,8
3,KH_3,10.024419171422489,105.76582074165344,25,10,190,12
4,KH_4,10.021641388074935,105.76261281967165,30,0,220,10
5,KH_5,10.022200710229116,105.7668399810791,18,20,240,15
6,KH_6,10.025400826334343,105.77138900756836,26,0,180,8
7,KH_7,10.027102121080947,105.77334165573122,24,15,210,10
8,KH_8,10.03064070464853,105.7750689983368,32,0,200,12
9,KH_9,10.035427075486403,105.77068090438843,20,30,250,10
10,KH_10,10.037518762279628,105.77179670333864,27,0,190,8
11,KH_11,10.036600194312403,105.773663520813,23,25,230,15
12,KH_12,10.033621974166397,105.7762598991394,29,0,180,10
13,KH_13,10.032733086275426,105.77789068222047,21,40,260,12
14,KH_14,10.02479973034864,105.77646374702455,26,0,200,8
15,KH_15,10.022802898516021,105.77398538589479,24,20,220,10
16,KH_16,10.022929061527567,105.76935052871706,28,0,190,12
17,KH_17,10.021819587338522,105.77133536338808,22,35,240,10


